helper_id,chunk_id,event,decoded_count,timestamp
2,15,RECOVERED,17,1780305321.6209335
2,34,SENT,17,1780305323.2082617
2,15,SENT,17,1780305324.8802674
2,22,RECOVERED,18,1780305324.8835804
2,28,RECOVERED,19,1780305324.8848743
2,22,SENT,19,1780305326.2442553
2,28,SENT,19,1780305327.6042676
2,35,RECOVERED,20,1780305336.899392
2,35,SENT,20,1780305338.504254
2,16,RECOVERED,21,1780305348.8734543
2,16,SENT,21,1780305350.3922584
2,3,RECOVERED,22,1780305361.7979228
2,31,RECOVERED,23,1780305361.7984903
2,2,RECOVERED,24,1780305361.7988644
2,29,RECOVERED,25,1780305361.7990353
2,14,RECOVERED,26,1780305361.799828
2,21,RECOVERED,27,1780305361.800083
2,1,RECOVERED,28,1780305361.8002522
2,5,RECOVERED,29,1780305361.80096
2,24,RECOVERED,30,1780305361.8017137
2,20,RECOVERED,31,1780305361.8024426
2,9,RECOVERED,32,1780305361.8028147
2,8,RECOVERED,33,1780305361.803289
2,19,RECOVERED,34,1780305361.8035657
2,32,RECOVERED,35,1780305361.8046587
2,12,RECOVERED,36,1780305361.8051662
2,36,RECOVERED,37,1780305361.8056045
2,3,SENT,37,1780305363.5002596
2,31,SENT,37,1780305365.448272
2,2,SENT,37,1780305366.8162694
2,29,SENT,37,1780305368.3082705
2,14,SENT,37,1780305370.1602714
2,21,SENT,37,1780305371.5842643
2,1,SENT,37,1780305372.976279
2,5,SENT,37,1780305374.7922626
2,24,SENT,37,1780305376.2882786
2,20,SENT,37,1780305378.06427
2,9,SENT,37,1780305379.5042624
2,8,SENT,37,1780305381.1002836
2,19,SENT,37,1780305382.6522639
2,32,SENT,37,1780305384.0322719
2,12,SENT,37,1780305385.864285
2,36,SENT,37,1780305387.4962647
2,17,RECOVERED,38,1780305491.7314887
2,-1,COMPLETE_267.64,38,1780305491.7317598
2,17,SENT,38,1780305493.3802629
2,6,RECOVERED,1,1780307881.1787827
2,6,SENT,1,1780307882.7482882
2,25,RECOVERED,2,1780307894.3215086
2,25,SENT,2,1780307896.088269
2,8,RECOVERED,3,1780307902.9982123
2,8,SENT,3,1780307904.5482433
2,27,RECOVERED,4,1780307913.858457
2,27,SENT,4,1780307915.2602637
2,35,RECOVERED,5,1780307928.160053
2,35,SENT,5,1780307929.63226
2,24,RECOVERED,6,1780307939.0399327
